Angle,LCR_Sun_Shape
0.321428571,30.19298246
2.285714286,29.92982456
6.214285714,30.19298246
10.85714286,30.63157895
14.78571429,31.50877193
17.28571429,32.38596491
21.03571429,34.14035088
25.14285714,34.84210526
29.78571429,35.71929825
35.5,37.03508772
40.67857143,38.43859649
45.32142857,39.92982456
50.1212,42.5698
54.78571429,45.11403509
58.17857143,46.65614035
61.75,47.25964912
65.67857143,46.48421053
68.71428571,44.66666667
70.85714286,42.47368421
73.17857143,40.36842105
74.96428571,38.0877193
76.64285714,35.71929825
79.32142857,33.1754386
81.82142857,30.28070175
84.78571429,27.8245614
87.10714286,25.19298246
89.42857143,22.8245614
91.39285714,20.36842105
92.82142857,18.1754386
94.78571429,15.98245614
96.57142857,13.78947368
98,11.15789474
99.42857143,8.789473684
101.2142857,7.122807018
102.6428571,5.280701754
104.6071429,3.438596491
106.0357143,1.596491228
109.0714286,0.192982456
113.8928571,0.192982456
119.9642857,0.192982456
125.3214286,0.192982456
131.2142857,0.192982456
136.3928571,0.192982456
143,0.192982456
148.7142857,0.192982456
155.5,0.192982456
161.2142857,0.192982456
166.5714286,0.192982456
172.6428571,0.192982456
179.0714286,0.192982456
