Angle,Bare receiver with CSR=0.0,Bare receiver with CSR=0.05,With glass tube CSR = 0.05
2.5,31.14356408,33.53331878,28.18772102
7.5,37.01306918,34.05032786,28.60564643
12.5,37.82519755,35.73670276,30.82700592
17.5,37.91891704,37.82341969,33.85755969
22.5,38.35820531,38.82730939,35.43235765
27.5,38.99400224,39.71973306,36.36074173
32.5,40.43419,40.34286469,37.30294816
37.5,42.26552541,41.73691714,38.33781071
42.5,43.63382224,43.85830418,39.47811969
47.5,45.2595149,45.18138357,41.01521143
52.5,46.89907276,47.42243163,43.46459224
57.5,49.89291357,49.22268449,44.93340418
62.5,52.9561849,51.82121388,47.01328918
67.5,55.72283745,53.41924408,48.43169735
72.5,60.00339776,51.22885418,46.58111745
77.5,62.83550867,43.67433663,40.34149378
82.5,32.0747198,35.75572031,34.41825765
87.5,0,27.10343939,24.95684184
92.5,0.023281327,18.55592378,17.00449765
97.5,0.054637755,11.29654398,9.749434388
102.5,0.152138163,5.36521051,4.781379388
107.5,0.284448776,1.827941837,1.484186327
112.5,0.333827245,0.703841837,0.688696531
117.5,0.387540306,0.639454592,0.520404388
122.5,0.42648449,0.854518163,0.727761531
127.5,0.552195918,0.674938367,0.577742551
132.5,0.71743551,0.587847653,0.660233061
137.5,0.556303776,0.774881531,0.634524082
142.5,0.757007551,0.850177959,0.604013571
147.5,0.696152551,0.826600102,0.737067245
152.5,0.848596224,0.848201531,0.694448673
157.5,0.58556398,0.867351633,0.838237449
162.5,0.846497857,0.793458469,0.711893061
167.5,0.769638878,0.737553163,0.721399082
172.5,0.931820408,0.844761735,0.798372959
177.5,0.926594898,0.75267602,0.780191429
