Angle(degrees),500/λ ,1000/λ,2000/λ,3000/λ,4000/λ ,5000/λ 
-177.5,0.703022997,0.878815133,0.906301531,0.816422444,0.823451032,0.880252915
-172.5,1.113145244,0.634330666,0.821586949,0.857762033,0.726702901,0.753466797
-167.5,0.919437442,0.661525531,0.799104622,0.720808562,0.956138154,0.945753927
-162.5,0.795250242,0.760553937,0.627721714,0.949009352,0.916610763,0.843641529
-157.5,1.142878141,0.959576454,0.872903573,0.862496236,0.951928023,0.886463008
-152.5,0.866048194,0.85559075,0.997962707,0.878776247,0.849529202,0.775431051
-147.5,0.9861147,0.773442199,0.742532278,0.79168373,0.796169063,0.699177395
-142.5,0.963222738,0.856913096,0.679042116,0.837083573,0.844696895,0.784002746
-137.5,0.475418941,0.488717284,0.625993176,0.633322519,0.719632205,0.708710685
-132.5,0.699703911,0.649024239,0.639689712,0.732298818,0.732148607,0.743035685
-127.5,0.748179969,0.792814757,0.688138772,0.609626172,0.713208794,0.781864683
-122.5,0.697409304,0.727948697,0.75349024,0.756303808,0.772080745,0.613702758
-117.5,0.714524696,0.36007575,0.700099548,0.60639308,0.588084665,0.644270704
-112.5,0.534830629,0.388332091,0.733774041,0.544597124,0.530577279,0.73600132
-107.5,1.06414778,0.60266669,0.515071545,0.744035055,0.739626606,0.780896533
-102.5,1.318247864,1.477378351,1.258695297,1.649295552,1.633895477,1.504738425
-97.5,5.110718091,5.264503754,5.185283318,5.471313913,5.295556886,5.038175158
-92.5,10.78917536,11.12891851,11.74757646,11.91946111,11.00236405,10.85575185
-87.5,19.50946852,20.26598731,18.30809395,19.25060257,19.28323158,18.63660594
-82.5,30.02527667,27.6439414,27.54532818,27.3319674,26.78348079,26.95947768
-77.5,37.37724503,37.62411143,35.33643573,36.76299475,36.04596236,35.89164884
-72.5,48.53379193,42.10773965,45.59046138,43.99429654,43.64783366,45.71732682
-67.5,51.94510698,49.80968872,52.24174256,49.6946264,50.52418887,50.80539293
-62.5,53.84381752,52.13081148,52.86987402,52.35490469,53.72337859,53.82683711
-57.5,50.94474578,52.60960573,52.0654909,51.46303842,51.81601592,51.87212841
-52.5,43.20004633,47.32580319,51.54890514,49.77634843,48.66257201,49.29712832
-47.5,49.20921954,47.01200822,46.09055115,45.63355517,46.31516787,46.63363894
-42.5,43.72087467,44.71214087,44.3202406,46.35922992,45.3922508,44.6302863
-37.5,44.67694738,42.86769785,44.90319332,42.78685198,43.40134657,42.68179558
-32.5,39.75575007,43.64937999,40.87133836,41.99892008,41.6722414,41.90182586
-27.5,43.01896503,39.19132742,40.74925133,41.43110435,41.02457384,40.72886518
-22.5,39.3310608,41.07146257,39.38076688,40.36566089,40.94102072,40.6028359
-17.5,39.83658928,41.01820831,40.96533036,39.45343536,40.21184901,40.2996378
-12.5,37.94162557,39.2871654,37.12870908,36.89054382,38.34710227,37.28182802
-7.5,34.74208531,33.56464985,34.42978645,35.42355047,34.26176751,32.852219
-2.5,28.24766478,30.76831769,29.97135247,31.02149651,30.89842734,31.16289187
2.5,31.53435922,31.7722204,31.03291511,31.47328366,30.7566099,31.27410582
7.5,32.24390695,34.60405448,34.22275075,32.94437792,33.29943249,33.54921623
12.5,38.1285421,38.80968739,37.88180969,37.54087429,37.20408025,38.03797939
17.5,37.18181524,38.74238462,37.70224394,39.38306193,40.33194462,39.99890741
22.5,41.04565038,40.36062115,40.52652903,39.57828617,39.99212836,40.0027328
27.5,42.86123089,43.19628739,43.13615731,41.71865606,41.11654577,40.62410198
32.5,41.71253451,41.94389407,43.39056959,42.10666484,42.46286343,42.29574909
37.5,40.69410822,43.56035995,43.308976,43.75694809,44.30112836,43.6915894
42.5,45.45849687,44.96795339,47.35764038,45.69440864,45.73114913,45.38975732
47.5,47.14605224,48.08700219,47.69922372,46.85479714,46.99350882,47.22999221
52.5,51.88006526,45.9937678,48.29155763,48.87196431,49.7464231,50.10520272
57.5,51.45509779,52.96854423,50.30856136,53.1494081,52.36782728,51.90462866
62.5,51.02846444,51.37681206,52.00707825,54.33619386,53.97296879,53.78069177
67.5,52.97661507,51.55258042,51.87704115,51.00367517,49.9980487,50.51473546
72.5,44.16999179,44.3986351,43.96642306,43.83048429,43.8956401,44.02068968
77.5,36.140356,36.64308368,35.41847162,35.79830601,36.47129969,35.52775849
82.5,24.69585442,27.55696587,25.80414847,27.69988579,26.88133406,27.70128557
87.5,17.53515483,19.06037928,20.25209112,18.84008857,18.86503827,18.8453614
92.5,10.94805464,11.9039036,11.77016167,11.12141207,11.26918085,11.78350534
97.5,4.665784658,6.030476176,5.53084637,5.048582383,5.011017846,5.029129387
102.5,1.070889056,1.804035144,1.379994823,1.732728897,1.705011183,1.657765477
107.5,0.646143343,0.857521273,0.742414287,0.670495863,0.862803769,0.578618814
112.5,0.950113936,0.629491804,0.530194308,0.698517221,0.576868055,0.633759265
117.5,0.534785744,0.706945039,0.469830913,0.663668816,0.731077686,0.583074371
122.5,0.943913509,0.602934782,0.842321183,0.519882631,0.659520458,0.685427307
127.5,0.423234048,0.51799466,0.823715012,0.780171921,0.698080698,0.644453913
132.5,0.510286123,0.495730207,0.669433498,0.678308948,0.64121071,0.74988562
137.5,0.505103842,0.777810985,0.783811983,0.764752624,0.687354497,0.787303501
142.5,0.855755849,0.875947902,0.679843945,0.60153533,0.774963864,0.731174235
147.5,0.782836722,0.531722638,0.573938496,0.699937449,0.807836083,0.790688915
152.5,0.91127505,0.963559046,0.866737254,0.74103139,0.802406932,0.828132795
157.5,1.034756635,0.766114745,0.665441017,0.699023184,0.866589487,0.948789479
162.5,0.675137629,1.027417626,0.954327289,0.798875417,0.758550308,0.966393057
167.5,0.606014552,0.962100488,0.810863414,0.819216236,0.8540262,0.920385371
172.5,0.614698906,0.959948426,0.899439708,0.758781513,0.794042332,0.908445705
177.5,0.691338089,0.99647704,0.942791703,0.728732083,0.855473537,0.918335079
